Ratio,Size Reduction,C,Time Full,Time Pruned,Time Ratio,Inference Time,Obj Full,Obj Pruned,Best K,N Nodes,n,budget,budget_ratio
1.0,0.95,0.95,0.01304173469543457,0.002990245819091797,4.361425609950566,0.17519140243530273,3777,3777,500,10000,10000,50,0.005
1.0,0.95,0.95,0.018990516662597656,0.0038805007934570312,4.893831408208405,0.007442474365234375,4964,4964,500,10000,10000,100,0.01
0.9993637665023063,0.95,0.9493955781771909,0.03608250617980957,0.006134510040283203,5.881888845705403,0.007153034210205078,6287,6283,500,10000,10000,200,0.02
0.9956236323851203,0.9,0.8960612691466083,0.07996082305908203,0.013270378112792969,6.025512037369745,0.007384300231933594,8226,8190,1000,10000,10000,500,0.05
1.0004172751929898,0.5,0.5002086375964949,0.1631298065185547,0.09232687950134277,1.7668723063057945,0.0071947574615478516,9586,9590,5000,10000,10000,1000,0.1
1.0,0.5,0.5,0.22102642059326172,0.1267397403717041,1.7439393511856054,0.007324695587158203,10000,10000,5000,10000,10000,2000,0.2
1.0,0.5,0.5,0.22073745727539062,0.12802529335021973,1.724170681425834,0.0065686702728271484,10000,10000,5000,10000,10000,5000,0.5
1.0,0.99,0.99,0.066741943359375,0.00787973403930664,8.470075642965204,0.036058664321899414,9725,9725,500,50000,50000,50,0.001
1.0,0.99,0.99,0.10347747802734375,0.010529279708862305,9.82759323415529,0.03418469429016113,13186,13186,500,50000,50000,100,0.002
0.9999427295114828,0.99,0.989943302216368,0.18555665016174316,0.013668060302734375,13.575931481998325,0.03675341606140137,17461,17460,500,50000,50000,200,0.004
0.9919345082066379,0.99,0.9820151631245715,0.4224987030029297,0.021485567092895508,19.664303072672194,0.03590679168701172,24797,24597,500,50000,50000,500,0.01
0.9994583054519963,0.96,0.9594799732339164,0.8027327060699463,0.0652921199798584,12.294480655821511,0.033315420150756836,31383,31366,2000,50000,50000,1000,0.02
0.9977515893937045,0.9,0.8979764304543341,1.5609369277954102,0.23096847534179688,6.758225015277388,0.03404998779296875,38694,38607,5000,50000,50000,2000,0.04
0.9406392694063926,0.9,0.8465753424657534,3.9623196125030518,0.4992854595184326,7.935980383495968,0.03603696823120117,47961,45114,5000,50000,50000,5000,0.1
1.0,0.995,0.995,0.14742660522460938,0.01642155647277832,8.977626783977234,0.07332420349121094,14228,14228,500,100000,100000,50,0.0005
1.0,0.995,0.995,0.21589016914367676,0.015792369842529297,13.670536550016607,0.06952095031738281,19500,19500,500,100000,100000,100,0.001
1.0,0.995,0.995,0.36761903762817383,0.022298574447631836,16.486212537556,0.06887173652648926,26155,26155,500,100000,100000,200,0.002
0.993607113730236,0.995,0.9886390781615848,0.8464746475219727,0.03536391258239746,23.93611412622112,0.06989073753356934,38011,37768,500,100000,100000,500,0.005
0.9999391258471653,0.98,0.979940343330222,1.581312894821167,0.08064913749694824,19.607313157949193,0.07153773307800293,49282,49279,2000,100000,100000,1000,0.01
0.9997922526208131,0.95,0.9498026399897723,3.116201400756836,0.2656240463256836,11.731623864113713,0.06630563735961914,62576,62563,5000,100000,100000,2000,0.02
0.9606386476842323,0.95,0.9126067153000207,7.59307599067688,0.5802228450775146,13.086482297439504,0.0713496208190918,82111,78879,5000,100000,100000,5000,0.05
